epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,1324.72,1.42604,0.75728,1.03451,0.94993,0.92649,0.96985,0.56131,1.36725,0.66573,1.10392,0.000231068,0.000231068,0.000231068
115,1336.34,1.44407,0.77067,1.04165,0.95411,0.94984,0.97243,0.55982,1.36148,0.66323,1.09493,0.000225068,0.000225068,0.000225068
116,1347.76,1.42405,0.7537,1.03723,0.94386,0.94808,0.97429,0.58367,1.28694,0.65158,1.06717,0.000219069,0.000219069,0.000219069
117,1359.27,1.42743,0.75424,1.04347,0.94307,0.95246,0.97147,0.58888,1.28689,0.641,1.07083,0.00021307,0.00021307,0.00021307
118,1370.79,1.41585,0.7593,1.05455,0.96083,0.95202,0.97613,0.59155,1.29896,0.65132,1.06336,0.00020707,0.00020707,0.00020707
119,1382.53,1.40412,0.74737,1.03568,0.958,0.95276,0.97292,0.60059,1.26895,0.6295,1.06177,0.000201071,0.000201071,0.000201071
120,1394.19,1.42904,0.75317,1.02637,0.96151,0.93967,0.96956,0.59561,1.27867,0.63746,1.0672,0.000195071,0.000195071,0.000195071
121,1405.65,1.38154,0.73333,1.03913,0.95741,0.95731,0.97536,0.5898,1.28902,0.62988,1.06361,0.000189072,0.000189072,0.000189072
122,1417.22,1.35505,0.71993,1.02718,0.96519,0.95091,0.97658,0.60251,1.27254,0.64418,1.06427,0.000183073,0.000183073,0.000183073
123,1429.19,1.4126,0.7496,1.03624,0.95888,0.94314,0.9766,0.59498,1.26737,0.6279,1.07461,0.000177073,0.000177073,0.000177073
124,1440.67,1.40408,0.73277,1.03965,0.95046,0.9547,0.97618,0.59556,1.2942,0.63737,1.07885,0.000171074,0.000171074,0.000171074
125,1452.2,1.38487,0.72583,1.03719,0.93832,0.96175,0.97528,0.58536,1.31004,0.64092,1.08355,0.000165074,0.000165074,0.000165074
126,1463.65,1.39975,0.74022,0.99852,0.9668,0.94613,0.97482,0.59006,1.2898,0.6346,1.07579,0.000159075,0.000159075,0.000159075
